passID;timestamp;stationRef;vehicleRef;charge
WSI3219904;2019-01-01 01:33:00;KO01;ED51EWW52190;2.8
TOB7336760;2019-01-01 01:37:00;OO12;AT19HLV57173;2.8
LDD7262109;2019-01-01 02:50:00;OO06;AT19HLV57173;2.8
NSR5538511;2019-01-01 05:23:00;AO07;DP11ENT03275;3.1
BDG6166982;2019-01-01 06:03:00;AO18;LG64ARC91224;13
YWD3967715;2019-01-01 06:09:00;MR06;QO68DIC93032;2.5
THF3239181;2019-01-01 06:10:00;OO12;XV40HUQ04740;1.25
DKZ3204266;2019-01-01 07:28:00;EG04;TV81MAQ99005;2.8
VSD5346273;2019-01-01 08:17:00;EG03;CP56DAO45598;2.8
UTI9677334;2019-01-01 08:52:00;AO13;DP11ENT03275;3.1
UIV0991172;2019-01-01 09:35:00;AO16;NO82BAX82566;2.8
BIM5756381;2019-01-01 09:53:00;KO08;QW79CHL42244;2.8
JVV5228001;2019-01-01 10:33:00;KO04;JO50FSF60755;2.2
TYV5505416;2019-01-01 10:41:00;KO08;WY00MLL63827;1
DVP9052273;2019-01-01 12:23:00;GF00;PF04UCA93312;3.1
RCN6097732;2019-01-01 12:45:00;GF00;IO09FGE68100;2.8
UPC0934127;2019-01-01 16:48:00;OO04;CP56DAO45598;2.5
UYS4444642;2019-01-01 16:52:00;NE09;QP02SYE47964;2.8
YOW7433640;2019-01-01 17:18:00;AO02;QN23UHH39091;2.8
JLS1333152;2019-01-01 17:41:00;EG08;CR31GMR97972;1.5
QGO0903208;2019-01-01 18:02:00;EG02;TE24LCO18661;1.25
IRK4760444;2019-01-01 19:39:00;EG11;MU06LHX94338;1.5
YZL7519880;2019-01-01 23:13:00;EG12;MU06LHX94338;1.5
XRS9245728;2019-01-01 23:35:00;KO06;HW75BKT77773;2.2
ADK8001607;2019-02-01 00:22:00;OO12;EM54HQI58682;2.8
ZLJ2429774;2019-02-01 00:39:00;EG07;CM15YCB60994;2
PFK3153908;2019-02-01 01:25:00;EG09;CM15YCB60994;2
OJF7533092;2019-02-01 02:21:00;NE09;FY47TUN40300;1
AYA2207372;2019-02-01 02:42:00;EG02;DW44ZOO26361;2.5
SUW7443304;2019-02-01 03:30:00;GF00;JE65QJK64802;2.8
